"Tarih","AltÄ±n","BTC","EOS","USDT","TRX","XRP"
"9/8/2020","1943.2","10126.6","2.7619","1.0011","0.035092","0.2365"
"9/7/2020","1937.1","10376.9","2.8522","1.0014","0.032411","0.24207"
"9/6/2020","1940.65","10296.4","2.9015","1.0013","0.031412","0.23984"
"9/4/2020","1934.3","10472.5","2.9948","1.0019","0.035581","0.25404"
"9/3/2020","1937.8","10168.8","2.6163","1.0019","0.040513","0.2443"
"9/2/2020","1944.7","11413.3","3.1027","1.0011","0.034562","0.27602"
"9/1/2020","1978.9","11914.9","3.471","1.0009","0.034706","0.29542"
"8/31/2020","1978.6","11644.2","3.2083","1.0009","0.029178","0.28117"
"8/28/2020","1974.9","11527.4","3.1159","1.0011","0.023916","0.27168"
"8/27/2020","1932.6","11327.4","2.9772","1.0009","0.02305","0.26455"
"8/26/2020","1952.5","11462.3","3.1172","1.0012","0.023681","0.27647"
"8/25/2020","1923.1","11324.8","3.1215","1.0008","0.02298","0.27641"
"8/24/2020","1939.2","11753.5","3.3866","1.0008","0.025111","0.28857"
"8/21/2020","1947","11529.2","3.2494","1.0001","0.024239","0.27921"
"8/20/2020","1946.5","11856.9","3.4421","1.0014","0.027447","0.29217"
"8/19/2020","1970.3","11750.2","3.3472","1.0013","0.026479","0.28979"
"8/18/2020","2013.1","11947.6","3.5767","1.0011","0.028768","0.30255"
"8/17/2020","1998.7","12282.6","3.7755","1.0017","0.030352","0.31513"
"8/14/2020","1949.8","11750.8","3.2607","1.0007","0.024702","0.30006"
"8/13/2020","1970.4","11770.9","3.136","1.0016","0.022367","0.29435"
"8/12/2020","1949","11557.2","3.0246","1.001","0.020191","0.28231"
"8/11/2020","1946.3","11390.4","3.0061","0.9995","0.020097","0.28293"
"8/10/2020","2039.7","11889.2","3.237","1.0007","0.021463","0.29464"
"8/7/2020","2028","11592","3.0141","0.9998","0.019881","0.29444"
"8/6/2020","2069.4","11757.1","3.0887","1.0002","0.020227","0.30316"
"8/5/2020","2049.3","11735.1","3.0548","1.0005","0.020324","0.30249"
"8/4/2020","2021","11184.7","3.0365","0.9999","0.020386","0.30129"
"8/3/2020","1986.3","11224.4","3.0453","1.0003","0.019871","0.31005"
"7/31/2020","1985.9","11333.4","3.0942","1.0013","0.019674","0.25947"
"7/30/2020","1966.8","11096.2","3.0472","1.0018","0.019181","0.24417"
"7/29/2020","1976.7","11105.9","3.0244","1.0014","0.019193","0.24319"
"7/28/2020","1963.9","10908.5","2.9955","1.0019","0.019093","0.23041"
"7/27/2020","1955.4","11022.8","2.8456","1.0016","0.018719","0.22433"
"7/24/2020","1925.2","9546.4","2.5952","1.0019","0.017939","0.20401"
"7/23/2020","1917.4","9599.6","2.6529","1.0011","0.017911","0.20851"
"7/22/2020","1892.6","9513.7","2.6528","1.0022","0.017929","0.20356"
"7/21/2020","1869.6","9387.3","2.6236","1.0017","0.01758","0.19947"
"7/20/2020","1840.1","9162.4","2.5622","1.001","0.017168","0.19469"
"7/17/2020","1833.7","9155.8","2.4965","1.0007","0.017175","0.19448"
"7/16/2020","1826.5","9135.3","2.4991","1.0005","0.017164","0.19441"
"7/15/2020","1841.6","9198.7","2.5366","0.9999","0.017565","0.19723"
"7/14/2020","1841.5","9253.4","2.5577","1.0003","0.017652","0.19911"
"7/13/2020","1843.7","9243.6","2.5542","1.0003","0.017558","0.19872"
"7/10/2020","1831.3","9285.1","2.6213","1.0008","0.018115","0.19898"
"7/9/2020","1833.5","9235.7","2.6495","1.0012","0.018548","0.20261"
"7/8/2020","1850.6","9429.9","2.6774","1.0012","0.017908","0.20544"
"7/7/2020","1834.3","9256","2.5592","1.0008","0.017205","0.18512"
"7/6/2020","1816.1","9339","2.6093","1.0009","0.018019","0.18875"
"7/3/2020","1787.6","9067.1","2.4177","1.0005","0.016622","0.1764"
"7/2/2020","1812","9085.1","2.3546","1.0004","0.016576","0.17478"
"7/1/2020","1801.9","9229.9","2.3775","1.0005","0.016861","0.17645"
"6/30/2020","1820.4","9135.4","2.3648","1.0003","0.016364","0.17532"
"6/29/2020","1800.1","9185.4","2.3792","0.9999","0.016162","0.17725"
"6/26/2020","1798.5","9160","2.4824","1.0001","0.015842","0.18248"
"6/25/2020","1788.4","9247.5","2.4796","1.0001","0.0159","0.18155"
"6/24/2020","1792.6","9302","2.4998","0.9999","0.015934","0.18351"
"6/23/2020","1797.1","9624.6","2.5712","1.0008","0.016505","0.18886"
"6/22/2020","1781.7","9683.7","2.5856","1.0006","0.016377","0.18941"
"6/19/2020","1768.6","9314","2.5254","0.9995","0.01587","0.18727"
"6/18/2020","1747.9","9388.1","2.5369","0.9996","0.016017","0.18978"
"6/17/2020","1753.4","9464.6","2.5682","1","0.016192","0.19318"
"6/16/2020","1754.4","9523.5","2.5516","1.0003","0.016121","0.19239"
"6/15/2020","1744.9","9425.4","2.5307","1.0005","0.016079","0.19241"
"6/12/2020","1755.2","9466.6","2.597","0.9997","0.016425","0.19304"
"6/11/2020","1757.6","9283.2","2.5173","0.9992","0.01573","0.18838"
"6/10/2020","1739","9878.8","2.7562","1.0007","0.017602","0.2027"
"6/9/2020","1740.3","9768.8","2.7524","1.0005","0.017536","0.20133"
"6/8/2020","1723.8","9777.9","2.7874","1.0004","0.017951","0.20408"
"6/5/2020","1701.9","9631.2","2.8144","0.9997","0.016839","0.20282"
"6/4/2020","1746.4","9794.4","2.7207","1","0.016869","0.20438"
"6/3/2020","1723.5","9667.2","2.6944","1","0.016885","0.20411"
"6/2/2020","1749.7","9527.6","2.6772","1.0001","0.016362","0.20317"
"6/1/2020","1763.7","10189.3","2.8191","1.0017","0.017053","0.2109"
"5/29/2020","1765.7","9424.8","2.6139","0.9997","0.014997","0.19758"
"5/28/2020","1742.7","9572.2","2.6094","1","0.015112","0.20046"
"5/27/2020","1740.5","9199.1","2.5707","1.0002","0.014705","0.19797"
"5/26/2020","1740.5","8842.5","2.5056","1.0005","0.01456","0.19374"
"5/25/2020","1727","8898.2","2.5271","1.0003","0.014717","0.19619"
"5/24/2020","1730.65","8728.2","2.4908","0.9998","0.014216","0.19279"
"5/22/2020","1765.6","9169.7","2.595","1.0002","0.014814","0.20036"
"5/21/2020","1750.4","9059","2.4625","0.9997","0.014215","0.1943"
"5/20/2020","1781.7","9512.3","2.5972","0.9999","0.014996","0.20176"
"5/19/2020","1773.4","9773.3","2.6527","1.0002","0.015507","0.20496"
"5/18/2020","1760.6","9730.7","2.668","0.9997","0.015363","0.20539"
"5/15/2020","1778.7","9318","2.5841","1","0.014873","0.19809"
"5/14/2020","1762","9778.4","2.6235","1.0003","0.015267","0.204"
"5/13/2020","1737.3","9298.7","2.5233","1.001","0.015004","0.20171"
"5/12/2020","1728","8813.8","2.4404","1.0007","0.014553","0.197"
"5/11/2020","1720.9","8579.8","2.4027","1.0006","0.014015","0.19283"
"5/8/2020","1735.2","9806.2","2.7532","1.0007","0.016262","0.21869"
"5/7/2020","1743.7","9979.8","2.7568","1.0011","0.016032","0.2186"
"5/6/2020","1704.4","9151.4","2.6543","1.001","0.015558","0.21181"
"5/5/2020","1728","9001","2.7714","1.0007","0.015884","0.21695"
"5/4/2020","1725.9","8874.7","2.7699","1.0006","0.016234","0.218"
"5/1/2020","1712","8821.6","2.872","1.0006","0.015801","0.21782"
"4/30/2020","1704.9","8629","2.823","1.0007","0.015199","0.21145"
"4/29/2020","1722.4","8770.9","3.0031","1.0008","0.01621","0.22642"
"4/28/2020","1731.2","7746.9","2.7627","1.0015","0.015285","0.21453"
"4/27/2020","1731.4","7766","2.7344","1.0014","0.014501","0.1975"
"4/24/2020","1741.7","7503.8","2.707","1.0016","0.01391","0.19314"
"4/23/2020","1751","7488.5","2.6811","1.0012","0.013614","0.19259"
"4/22/2020","1743.5","7112.9","2.6228","1.0021","0.012975","0.18804"
"4/21/2020","1692.1","6842.5","2.5205","1.0025","0.012487","0.18351"
"4/20/2020","1715.3","6833.5","2.5083","1.0019","0.012417","0.18175"
"4/17/2020","1702.7","7035.8","2.6158","1.0025","0.012891","0.18869"
"4/16/2020","1736.3","7085.6","2.6553","1.0026","0.013014","0.19052"
"4/15/2020","1744.7","6629.1","2.3986","1.0027","0.01217","0.18058"
"4/14/2020","1771.2","6850.9","2.4678","1.0023","0.012444","0.18613"
"4/13/2020","1762.7","6841.3","2.4398","1.0027","0.012558","0.1877"
"4/10/2020","1740.6","6863.1","2.4928","1.0022","0.012482","0.18764"
"4/9/2020","1753.6","7289","2.7228","1.0018","0.013442","0.1983"
"4/8/2020","1684.1","7361.2","2.7498","1.0019","0.013726","0.20192"
"4/7/2020","1683.7","7185.2","2.6354","1.0012","0.013288","0.19287"
"4/6/2020","1693.1","7332.3","2.7621","1.0021","0.013751","0.19805"
"4/3/2020","1646.5","6735.9","2.3297","1.0025","0.011897","0.17952"
"4/2/2020","1638.9","6800.5","2.2892","1.0025","0.011969","0.1784"
"4/1/2020","1592.5","6638.5","2.2527","1.0042","0.011559","0.17498"
"3/31/2020","1597.6","6412.5","2.2058","1.0035","0.011591","0.17365"
"3/30/2020","1644.1","6391","2.2261","1.004","0.011444","0.17113"
"3/27/2020","1655","6373.4","2.1957","1.0037","0.011199","0.17286"
"3/26/2020","1662","6725.1","2.3235","1.0049","0.011935","0.17599"
"3/25/2020","1633.3","6678.9","2.2954","1.0032","0.011371","0.16173"
"3/24/2020","1663","6744.6","2.3451","1.0043","0.011521","0.16236"
"3/23/2020","1581.4","6468.9","2.2869","1.0051","0.011346","0.15862"
"3/20/2020","1495.1","6205.3","2.2024","1.0017","0.011258","0.15681"
"3/19/2020","1489.4","6172","2.2807","1.0035","0.011607","0.16469"
"3/18/2020","1487.1","5361.4","1.9986","1.0059","0.010214","0.1475"
"3/17/2020","1534.1","5261.1","1.9731","1.0069","0.010049","0.14724"
"3/16/2020","1493.8","5030","1.8913","1.0059","0.009598","0.14093"
"3/13/2020","1524.9","5584.3","2.1111","1.0082","0.010236","0.15882"
"3/12/2020","1598.8","4826","1.7781","1.0148","0.008409","0.13604"
"3/11/2020","1650.8","7935.1","3.0652","1.0046","0.014882","0.20812"
"3/10/2020","1669","7891.2","3.0716","1.0037","0.015086","0.21171"
"3/9/2020","1684.1","7933","3.0619","1.0038","0.015024","0.20961"
"3/6/2020","1683","9134.8","3.8355","1.0048","0.01833","0.24475"
"3/5/2020","1680.4","9060.3","3.7658","1.0037","0.017894","0.23917"
"3/4/2020","1656.5","8757.9","3.5929","1.0035","0.017778","0.23466"
"3/3/2020","1658.8","8761.4","3.6283","1.0044","0.017226","0.23424"
"3/2/2020","1609.7","8904.8","3.7127","1.0026","0.017588","0.2395"
"2/28/2020","1583.6","8697.5","3.5142","1.0037","0.017091","0.23665"
"2/27/2020","1661.4","8818.6","3.6172","1.0021","0.017016","0.23805"
"2/26/2020","1662.9","8800.3","3.5353","1.0027","0.016396","0.22901"
"2/25/2020","1670.2","9317.2","4.0879","1.002","0.018903","0.25245"
"2/24/2020","1697.1","9662.7","4.1267","1.0011","0.019844","0.27025"
"2/21/2020","1669.1","9684.5","4.0557","1.0024","0.020135","0.27422"
"2/20/2020","1640.8","9602.4","4.0002","1.0017","0.019849","0.27114"
"2/19/2020","1632.2","9609.4","3.9976","1.0004","0.020174","0.27518"
"2/18/2020","1624","10158.4","4.5813","1.0021","0.022566","0.29801"
"2/17/2020","1587.05","9701.4","4.3482","1.0009","0.021773","0.28708"
"2/16/2020","1586.25","9932.3","4.3857","1.0011","0.022265","0.29316"
"2/14/2020","1606.9","10333","5.3742","1","0.026382","0.33587"
"2/13/2020","1599.6","10235.1","5.3655","0.9992","0.023916","0.32731"
"2/12/2020","1592.4","10317.7","5.3303","1.001","0.023918","0.30437"
"2/11/2020","1591.1","10229.5","5.2472","1.0029","0.022647","0.28107"
"2/10/2020","1600.7","9854.1","4.8949","0.9998","0.022097","0.27348"
"2/7/2020","1595","9818.6","4.5944","0.9981","0.022039","0.27959"
"2/6/2020","1591.7","9772","4.6023","0.9985","0.022633","0.28359"
"2/5/2020","1584.7","9611.8","4.5292","0.9997","0.020791","0.27779"
"2/4/2020","1577.5","9193.9","4.2289","0.999","0.019269","0.26719"
"2/3/2020","1604","9296.6","4.2011","1.0004","0.019128","0.25465"
"1/31/2020","1609.4","9349.1","4.1412","0.9999","0.018712","0.23938"
"1/30/2020","1610.7","9507.3","4.323","0.9991","0.019494","0.24333"
"1/29/2020","1597.9","9298.9","3.9703","1","0.018605","0.23546"
"1/28/2020","1596.9","9377.3","4.0403","1.0017","0.018654","0.23921"
"1/27/2020","1604.6","8866.6","3.9619","0.9994","0.017088","0.23086"
"1/24/2020","1599","8439.9","3.634","1.0011","0.016354","0.22217"
"1/23/2020","1592.1","8405.1","3.5713","0.9997","0.01628","0.22595"
"1/22/2020","1583.5","8678.5","3.6529","1.0009","0.017424","0.2372"
"1/21/2020","1584.7","8732.6","3.6511","1.001","0.017318","0.23722"
"1/20/2020","1561.25","8641.9","3.6183","1.0008","0.016615","0.23307"
"1/19/2020","1557.05","8706.2","3.6129","1.0005","0.016645","0.23575"
"1/17/2020","1587.2","8913.1","3.9146","0.9982","0.017534","0.23917"
"1/16/2020","1576.9","8726.9","3.8331","1.0004","0.017272","0.22918"
"1/15/2020","1580.3","8818.3","3.7707","0.9992","0.017295","0.23379"
"1/14/2020","1571.2","8829.2","3.8218","0.9974","0.016782","0.23499"
"1/13/2020","1577.5","8111.4","3.1051","1.0026","0.014648","0.21141"
"1/10/2020","1587","8187.1","2.9816","1.0014","0.014683","0.21259"
"1/9/2020","1581.4","7842.4","2.7442","1.0024","0.01397","0.20372"
"1/8/2020","1587","8059.6","2.7755","1.0013","0.014032","0.20756"
"1/7/2020","1601.3","8155.7","2.8467","1.0016","0.014345","0.21351"
"1/6/2020","1596.1","7759.1","2.849","1.0041","0.014671","0.22306"
"1/3/2020","1579.6","7343.1","2.6363","1.0039","0.013423","0.19321"
"1/2/2020","1555.2","6967","2.4583","1.0053","0.012845","0.18748"
"1/1/2020","1520.95","7199.8","2.6033","1.0121","0.013205","0.19307"
"12/31/2019","1550.6","7196.4","2.5839","1.0048","0.013301","0.19294"
"12/30/2019","1545.4","7261.8","2.6262","1.0021","0.013285","0.19319"
"12/27/2019","1544.4","7261.7","2.5699","1.002","0.013232","0.18995"
"12/26/2019","1540.3","7210.9","2.5177","1.0034","0.013352","0.18924"
"12/25/2019","1504.05","7224.8","2.4799","1.0036","0.013187","0.18863"
"12/24/2019","1530.5","7268.3","2.542","1.0041","0.013523","0.19078"
"12/23/2019","1514.4","7322.8","2.5142","1.0034","0.013788","0.18978"
"12/20/2019","1506.4","7196.4","2.4874","1.005","0.013358","0.19512"
"12/19/2019","1510","7165.5","2.45","1.0055","0.012973","0.18786"
"12/18/2019","1504.3","7276","2.458","1.0055","0.013372","0.19574"
"12/17/2019","1506.8","6613.3","2.1946","1.0054","0.012425","0.18301"
"12/16/2019","1506.7","6903.5","2.3704","1.0039","0.013367","0.20564"
"12/13/2019","1506.9","7255.2","2.6248","1.0053","0.014052","0.22057"
"12/12/2019","1497.5","7208","2.5827","1.0031","0.013758","0.21851"
"12/11/2019","1500.1","7208","2.5767","1.0023","0.014142","0.22095"
"12/10/2019","1493.2","7235.7","2.6034","1.0032","0.014113","0.22261"
"12/9/2019","1489.8","7355.8","2.6567","1.0044","0.014373","0.22451"
"12/6/2019","1489.9","7530.8","2.7256","1.0052","0.014681","0.22555"
"12/5/2019","1507.5","7399.2","2.6824","1.0048","0.014493","0.22115"
"12/4/2019","1504.5","7204.4","2.6284","1.0054","0.014291","0.21409"
"12/3/2019","1508.6","7291.8","2.6941","1.0066","0.01519","0.21946"
"12/2/2019","1493.1","7298.2","2.6748","1.0084","0.01521","0.21915"
